,Year,Date,Time,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Outcome,Winner,TotalGoals
0,1930,13-Jul-30, 15:00 ,Group 1,Pocitos,Montevideo ,France,4,1,Mexico, ,H,France,5
1,1930,13-Jul-30, 15:00 ,Group 4,Parque Central,Montevideo ,USA,3,0,Belgium, ,H,USA,3
2,1930,14-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil, ,H,Yugoslavia,3
3,1930,14-Jul-30, 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3,1,Peru, ,H,Romania,4
4,1930,15-Jul-30, 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1,0,France, ,H,Argentina,1
5,1930,16-Jul-30, 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3,0,Mexico, ,H,Chile,3
6,1930,17-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia, ,H,Yugoslavia,4
7,1930,17-Jul-30, 14:45 ,Group 4,Parque Central,Montevideo ,USA,3,0,Paraguay, ,H,USA,3
8,1930,18-Jul-30, 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru, ,H,Uruguay,1
9,1930,19-Jul-30, 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1,0,France, ,H,Chile,1
10,1930,19-Jul-30, 15:00 ,Group 1,Estadio Centenario,Montevideo ,Argentina,6,3,Mexico, ,H,Argentina,9
11,1930,20-Jul-30, 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4,0,Bolivia, ,H,Brazil,4
12,1930,20-Jul-30, 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1,0,Belgium, ,H,Paraguay,1
13,1930,21-Jul-30, 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,4,0,Romania, ,H,Uruguay,4
14,1930,22-Jul-30, 14:45 ,Group 1,Estadio Centenario,Montevideo ,Argentina,3,1,Chile, ,H,Argentina,4
15,1930,26-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Argentina,6,1,USA, ,H,Argentina,7
